DATE,DTB3
1954-01-01,1.0600000000000000
1954-04-01,0.78953125000000000000
1954-07-01,0.88343750000000000000
1954-10-01,1.0275806451612903
1955-01-01,1.2295161290322581
1955-04-01,1.4829687500000000
1955-07-01,1.8600000000000000
1955-10-01,2.3381967213114754
1956-01-01,2.3277777777777778
1956-04-01,2.5651562500000000
1956-07-01,2.5739682539682540
1956-10-01,3.0259677419354839
1957-01-01,3.0993650793650794
1957-04-01,3.1335937500000000
1957-07-01,3.3476562500000000
1957-10-01,3.3171428571428571
1958-01-01,1.7773770491803279
1958-04-01,0.95841269841269841270
1958-07-01,1.6682812500000000
1958-10-01,2.6934426229508197
1959-01-01,2.7785000000000000
1959-04-01,3.0033846153846154
1959-07-01,3.5293846153846154
1959-10-01,4.2385245901639344
1960-01-01,3.8483870967741935
1960-04-01,2.9780952380952381
1960-07-01,2.3567187500000000
1960-10-01,2.3053333333333333
1961-01-01,2.3457377049180328
1961-04-01,2.3035937500000000
1961-07-01,2.3079365079365079
1961-10-01,2.4565573770491803
1962-01-01,2.7246774193548387
1962-04-01,2.7134920634920635
1962-07-01,2.8417460317460317
1962-10-01,2.8100000000000000
1963-01-01,2.9067213114754098
1963-04-01,2.9360317460317460
1963-07-01,3.2890625000000000
1963-10-01,3.4929508196721311
1964-01-01,3.5324590163934426
1964-04-01,3.4739062500000000
1964-07-01,3.4955384615384615
1964-10-01,3.6878688524590164
1965-01-01,3.8896721311475410
1965-04-01,3.8723809523809524
1965-07-01,3.8668750000000000
1965-10-01,4.1739344262295082
1966-01-01,4.6061904761904762
1966-04-01,4.5830158730158730
1966-07-01,5.0429687500000000
1966-10-01,5.2043333333333333
1967-01-01,4.5068852459016393
1967-04-01,3.6532812500000000
1967-07-01,4.2969841269841270
1967-10-01,4.7480327868852459
1968-01-01,5.0482258064516129
1968-04-01,5.5232258064516129
1968-07-01,5.1981250000000000
1968-10-01,5.5853225806451613
1969-01-01,6.0936065573770492
1969-04-01,6.1984126984126984
1969-07-01,7.0241269841269841
1969-10-01,7.3614754098360656
1970-01-01,7.2113333333333333
1970-04-01,6.6732307692307692
1970-07-01,6.3304687500000000
1970-10-01,5.3468852459016393
1971-01-01,3.8178688524590164
1971-04-01,4.2623809523809524
1971-07-01,5.0078125000000000
1971-10-01,4.2181967213114754
1972-01-01,3.4453968253968254
1972-04-01,3.7709375000000000
1972-07-01,4.2109523809523810
1972-10-01,4.8628333333333333
1973-01-01,5.7067741935483871
1973-04-01,6.6036507936507937
1973-07-01,8.3350793650793651
1973-10-01,7.4971666666666667
1974-01-01,7.6450819672131148
1974-04-01,8.1593650793650794
1974-07-01,8.1929687500000000
1974-10-01,7.3583606557377049
1975-01-01,5.7750000000000000
1975-04-01,5.3968750000000000
1975-07-01,6.3284375000000000
1975-10-01,5.6375409836065574
1976-01-01,4.9212903225806452
1976-04-01,5.1590476190476190
1976-07-01,5.1518750000000000
1976-10-01,4.6604918032786885
1977-01-01,4.6265079365079365
1977-04-01,4.8436507936507937
1977-07-01,5.5047619047619048
1977-10-01,6.1093333333333333
1978-01-01,6.3890163934426230
1978-04-01,6.4831746031746032
1978-07-01,7.2990476190476190
1978-10-01,8.5608196721311475
1979-01-01,9.3877419354838710
1979-04-01,9.3743548387096774
1979-07-01,9.6509523809523810
1979-10-01,11.8393442622950820
1980-01-01,13.3459677419354839
1980-04-01,9.6182539682539683
1980-07-01,9.1354687500000000
1980-10-01,13.6049180327868852
1981-01-01,14.3529508196721311
1981-04-01,14.8853968253968254
1981-07-01,15.0507812500000000
1981-10-01,11.7778688524590164
1982-01-01,12.7832786885245902
1982-04-01,12.4250793650793651
1982-07-01,9.3064062500000000
1982-10-01,7.9029508196721311
1983-01-01,8.1136507936507937
1983-04-01,8.4079365079365079
1983-07-01,9.1470312500000000
1983-10-01,8.8023333333333333
1984-01-01,9.1775806451612903
1984-04-01,9.8009523809523810
1984-07-01,10.3200000000000000
1984-10-01,8.8344262295081967
1985-01-01,8.1750000000000000
1985-04-01,7.4684126984126984
1985-07-01,7.1060317460317460
1985-10-01,7.1637096774193548
1986-01-01,6.8996666666666667
1986-04-01,6.1371875000000000
1986-07-01,5.5265625000000000
1986-10-01,5.3525806451612903
1987-01-01,5.5383606557377049
1987-04-01,5.6549206349206349
1987-07-01,6.0367187500000000
1987-10-01,5.8691935483870968
1988-01-01,5.7232258064516129
1988-04-01,6.2166666666666667
1988-07-01,7.0162500000000000
1988-10-01,7.7308196721311475
1989-01-01,8.5465573770491803
1989-04-01,8.4031250000000000
1989-07-01,7.8469841269841270
1989-10-01,7.6514516129032258
1990-01-01,7.7635483870967742
1990-04-01,7.7466666666666667
1990-07-01,7.4771428571428571
1990-10-01,6.9948387096774194
1991-01-01,6.0286666666666667
1991-04-01,5.5603125000000000
1991-07-01,5.3793750000000000
1991-10-01,4.5490322580645161
1992-01-01,3.8988709677419355
1992-04-01,3.6798412698412698
1992-07-01,3.0835937500000000
1992-10-01,3.0701612903225806
1993-01-01,2.9600000000000000
1993-04-01,2.9676190476190476
1993-07-01,3.0012500000000000
1993-10-01,3.0593548387096774
1994-01-01,3.2564516129032258
1994-04-01,3.9990322580645161
1994-07-01,4.4804687500000000
1994-10-01,5.2822950819672131
1995-01-01,5.7353225806451613
1995-04-01,5.5942857142857143
1995-07-01,5.3677777777777778
1995-10-01,5.2612903225806452
1996-01-01,4.9301612903225806
1996-04-01,5.0181250000000000
1996-07-01,5.0964062500000000
1996-10-01,4.9735483870967742
1997-01-01,5.0616666666666667
1997-04-01,5.0489062500000000
